region,annee,population
USA,1790,3.929
USA,1800,5.308
USA,1810,7.24
USA,1820,9.638
USA,1830,12.866
USA,1840,17.069
USA,1850,23.192
USA,1860,31.443
USA,1870,38.558
USA,1880,51.056
USA,1890,62.948
USA,1900,75.995
USA,1910,91.972
USA,1920,106.022
USA,1930,123.203
USA,1940,132.265
USA,1950,152.271417
USA,1960,180.671158
USA,1970,205.052174
USA,1980,227.224681
USA,1990,249.622814
USA,2000,282.162411
USA,2010,309.327143
USA,2020,329.484123
